,ActivePower,WindSpeed,Temperature
2019-01-18 08:00:00+00:00,59.6419,3.6463,28.9776
2019-01-18 09:00:00+00:00,141.5705,4.1562,29.5675
2019-01-18 10:00:00+00:00,171.9032,4.3835,29.5195
2019-01-18 11:00:00+00:00,274.2230,4.9045,28.8537
2019-01-18 12:00:00+00:00,493.8572,5.9727,28.0344
2019-01-18 13:00:00+00:00,524.1568,6.0998,27.0857
2019-01-18 14:00:00+00:00,633.1922,6.5383,26.1265
2019-01-18 15:00:00+00:00,902.3405,7.3233,25.4514
2019-01-18 16:00:00+00:00,700.8052,6.6079,24.6038
2019-01-18 17:00:00+00:00,433.4297,5.9609,23.7370
2019-01-18 18:00:00+00:00,406.0723,5.8593,23.1726
2019-01-18 19:00:00+00:00,322.0699,5.5103,22.9541
2019-01-18 20:00:00+00:00,315.4215,5.4535,22.4936
2019-01-18 21:00:00+00:00,232.9664,4.9641,22.4269
2019-01-18 22:00:00+00:00,371.5942,5.8042,21.7037
